id,image_name,height,width,resolution,if_fish,if_ruler,if_colorbar,relative_path,fish_number,non_specimen_objects,if_label,if_overlapping,specimen_angle,specimen_view,if_bent,landmark_failures_number,if_missing_parts,brightness,if_blur,if_color_issue,checked_flag,specimen_angled,specimen_viewing,color_issues,if_background_uniform,if_parts_visible,image_quality,label_detailed,if_each_fish_label,if_fins_folded,if_label_catalog_number_correct,if_label_name_correct,create_time,update_time,fixed_scientific_name,scientific_name
837b7fec-697d-4e4b-9534-5b5d217dbdfa,INHS_FISH_19339.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_19339.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,FALSE,FALSE,5,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-07-21 21:00:19.833885-05,NULL,Lepomis humilis
871488d2-8eae-40ca-b036-a6c7a559f2e4,INHS_FISH_INHS_FISH_74821.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_INHS_FISH_74821.jpg,1,no,TRUE,FALSE,Left,Left,FALSE,0,FALSE,normal,TRUE,FALSE,TRUE,9,left,none,TRUE,TRUE,9,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-07-21 11:36:39.382508-05,NULL,NULL
b4d7c682-0d1b-468a-beff-98660adca7dc,INHS_FISH_68877.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_68877.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,TRUE,TRUE,9,detailed,FALSE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-06-18 07:04:47.323223-05,NULL,Esox americanus
b3c22b6c-8904-4075-8d8d-7935f41fbf94,INHS_FISH_19526.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_19526.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,TRUE,TRUE,8,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-07-21 21:05:42.746148-05,NULL,Lepomis humilis
b3131889-8896-4803-bc6e-1788a5baccd5,INHS_FISH_15990.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_15990.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,FALSE,TRUE,8,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-06-29 18:14:23.732674-05,NULL,Noturus flavus
6e8c0bf7-360e-46f6-bf6a-877c7ac26f30,INHS_FISH_99517.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_99517.jpg,1,no,TRUE,FALSE,Left,Left,FALSE,2,FALSE,normal,TRUE,FALSE,TRUE,9,left,none,FALSE,TRUE,8,detailed,NULL,NULL,NULL,NULL,2020-06-18 07:04:46.913199-05,2020-06-18 07:04:47.323223-05,NULL,Notropis percobromus
9f440186-cd09-4778-bd98-d9fdac661e1a,INHS_FISH_96514.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_96514.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,FALSE,TRUE,8,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-06-18 07:04:47.323223-05,NULL,Esox americanus
9cab78ab-568f-4829-a922-b2826db8c8a5,INHS_FISH_16275.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_16275.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,FALSE,TRUE,8,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-06-29 18:18:46.266579-05,NULL,Noturus flavus
db31454d-7146-41fc-bed1-20929b4147e6,INHS_FISH_99090.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_99090.jpg,1,"twine, tag, lid",TRUE,TRUE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,3,right,Specimen has a dark orange coloration,FALSE,FALSE,3,basic,NULL,NULL,NULL,NULL,2020-06-18 07:04:46.913199-05,2020-06-18 07:04:47.323223-05,NULL,Morone chrysops
44f37b0a-1aac-499a-a167-c3f551c1e4bf,INHS_FISH_59793.jpg,4016,6016,NULL,TRUE,TRUE,FALSE,/INHS/INHS_FISH_59793.jpg,1,no,TRUE,FALSE,NULL,NULL,FALSE,NULL,FALSE,normal,TRUE,NULL,TRUE,9,left,none,TRUE,TRUE,9,detailed,TRUE,FALSE,TRUE,TRUE,2020-06-18 07:04:46.913199-05,2020-06-18 07:04:47.323223-05,NULL,Lepomis megalotis
